Transaction ID,Transaction
Trans1,Java: The Complete Reference
Trans2,"Java: The Complete Reference, Beginning Programming with Java, Effective Java (2nd Edition)"
Trans3,"Java 8 Pocket Guide, C++ Programming in Easy Steps, HTML and CSS: Design and Build Websites, Head First Java 2nd Edition, Android Programming: The Big Nerd Ranch, Effective Java (2nd Edition), Java For Dummies, Beginning Programming with Java, Java: The Complete Reference"
Trans4,"Java 8 Pocket Guide, HTML and CSS: Design and Build Websites, Java: The Complete Reference"
Trans5,"Head First Java 2nd Edition, Java For Dummies, Android Programming: The Big Nerd Ranch, Java: The Complete Reference, Effective Java (2nd Edition), Java 8 Pocket Guide, HTML and CSS: Design and Build Websites"
Trans6,"Java: The Complete Reference, Java 8 Pocket Guide"
Trans7,"Java: The Complete Reference, Head First Java 2nd Edition, Beginning Programming with Java, A Beginner’s Guide, Java 8 Pocket Guide, C++ Programming in Easy Steps, HTML and CSS: Design and Build Websites, Effective Java (2nd Edition), Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans8,"Head First Java 2nd Edition, Java For Dummies, C++ Programming in Easy Steps, Beginning Programming with Java"
Trans9,"Beginning Programming with Java, Head First Java 2nd Edition"
Trans10,"Effective Java (2nd Edition), Java 8 Pocket Guide, A Beginner’s Guide, Java For Dummies, C++ Programming in Easy Steps, Beginning Programming with Java, HTML and CSS: Design and Build Websites, Java: The Complete Reference, Android Programming: The Big Nerd Ranch"
Trans11,"C++ Programming in Easy Steps, HTML and CSS: Design and Build Websites, Android Programming: The Big Nerd Ranch"
Trans12,"Effective Java (2nd Edition), Java For Dummies, Java 8 Pocket Guide, Java: The Complete Reference, Beginning Programming with Java"
Trans13,"Java 8 Pocket Guide, C++ Programming in Easy Steps, HTML and CSS: Design and Build Websites, Java For Dummies, Beginning Programming with Java"
Trans14,"Java: The Complete Reference, Effective Java (2nd Edition), Beginning Programming with Java, C++ Programming in Easy Steps, Head First Java 2nd Edition, Java 8 Pocket Guide, Android Programming: The Big Nerd Ranch, A Beginner’s Guide, Java For Dummies, HTML and CSS: Design and Build Websites"
Trans15,"Java For Dummies, Java: The Complete Reference, Beginning Programming with Java, Android Programming: The Big Nerd Ranch, Effective Java (2nd Edition), A Beginner’s Guide, Java 8 Pocket Guide"
Trans16,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, C++ Programming in Easy Steps, Java: The Complete Reference, A Beginner’s Guide, Java For Dummies, Beginning Programming with Java"
Trans17,"Effective Java (2nd Edition), A Beginner’s Guide, C++ Programming in Easy Steps, Java 8 Pocket Guide, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Java: The Complete Reference, Java For Dummies, Beginning Programming with Java"
Trans18,"Java: The Complete Reference, Java 8 Pocket Guide"
Trans19,"Effective Java (2nd Edition), Java: The Complete Reference, HTML and CSS: Design and Build Websites"
Trans20,"Java For Dummies, Effective Java (2nd Edition), C++ Programming in Easy Steps, Java 8 Pocket Guide, Head First Java 2nd Edition, Beginning Programming with Java, HTML and CSS: Design and Build Websites, A Beginner’s Guide"
