Transaction ID,Transaction
Trans1,Microsoft Office
Trans2,"Speakers, Lab Top, Anti-Virus, Digital Camera, Flash Drive"
Trans3,"Lab Top Case, Digital Camera, Desk Top, Flash Drive, External Hard-Drive, Printer"
Trans4,"Lab Top, Microsoft Office, Flash Drive, Speakers, External Hard-Drive"
Trans5,"Flash Drive, Lab Top Case"
Trans6,"Lab Top Case, Lab Top, Printer"
Trans7,"Digital Camera, Speakers, Lab Top, Flash Drive, External Hard-Drive, Microsoft Office, Lab Top Case, Desk Top"
Trans8,"Flash Drive, Desk Top, Digital Camera"
Trans9,"Lab Top, Speakers, Digital Camera, Lab Top Case, Microsoft Office"
Trans10,"Anti-Virus, Printer, Speakers, Microsoft Office"
Trans11,"Printer, Anti-Virus, Speakers, External Hard-Drive, Lab Top, Digital Camera, Lab Top Case, Microsoft Office"
Trans12,"Lab Top Case, External Hard-Drive, Printer"
Trans13,Printer
Trans14,"Microsoft Office, Anti-Virus, Flash Drive, Lab Top Case, Digital Camera, Lab Top, Printer, Speakers"
Trans15,"Printer, Digital Camera, Flash Drive, Speakers, Lab Top, Desk Top, Anti-Virus, Microsoft Office"
Trans16,"External Hard-Drive, Desk Top, Digital Camera"
Trans17,"Lab Top, Anti-Virus, Speakers, Printer, Digital Camera, External Hard-Drive"
Trans18,"Printer, Lab Top, External Hard-Drive, Microsoft Office"
Trans19,"Desk Top, Flash Drive, Printer, Digital Camera, Microsoft Office, Lab Top, Lab Top Case, External Hard-Drive, Anti-Virus, Speakers"
Trans20,"Flash Drive, Lab Top, Microsoft Office, Desk Top, Lab Top Case, Speakers, Anti-Virus, Digital Camera"
