Transaction ID,Transaction
Trans1,"Kids Bedding, Decorative Pillows, Towels, Shams, Quilts, Bedspreads"
Trans2,"Sheets, Quilts, Kids Bedding, Embroidered Bedspread, Bedspreads, Towels, Bed Skirts, Bedding Collections, Shams, Decorative Pillows"
Trans3,"Bedspreads, Quilts, Towels"
Trans4,"Quilts, Shams, Kids Bedding, Bedding Collections"
Trans5,"Sheets, Embroidered Bedspread, Bed Skirts, Shams, Decorative Pillows, Bedding Collections, Kids Bedding, Bedspreads, Towels"
Trans6,"Quilts, Embroidered Bedspread, Bedspreads, Towels, Kids Bedding, Sheets, Decorative Pillows"
Trans7,"Quilts, Shams, Towels, Decorative Pillows"
Trans8,"Kids Bedding, Sheets"
Trans9,"Decorative Pillows, Sheets, Embroidered Bedspread, Shams, Kids Bedding, Quilts, Bedspreads, Towels, Bedding Collections, Bed Skirts"
Trans10,"Quilts, Bedspreads, Kids Bedding, Sheets, Bed Skirts"
Trans11,"Kids Bedding, Bedspreads, Embroidered Bedspread, Bed Skirts, Bedding Collections"
Trans12,"Towels, Embroidered Bedspread, Kids Bedding, Bedspreads, Bedding Collections, Sheets, Quilts, Decorative Pillows"
Trans13,"Shams, Quilts, Kids Bedding, Decorative Pillows, Bedding Collections"
Trans14,"Embroidered Bedspread, Shams, Bedspreads"
Trans15,"Kids Bedding, Embroidered Bedspread"
Trans16,"Bedding Collections, Decorative Pillows, Sheets, Bed Skirts, Kids Bedding, Bedspreads"
Trans17,"Bedding Collections, Towels, Shams, Sheets, Embroidered Bedspread, Kids Bedding, Bedspreads"
Trans18,"Shams, Sheets, Bed Skirts, Decorative Pillows, Bedspreads, Towels, Kids Bedding"
Trans19,"Bed Skirts, Quilts, Towels, Shams, Embroidered Bedspread, Bedspreads, Kids Bedding, Bedding Collections"
Trans20,"Sheets, Bed Skirts, Shams, Towels, Bedding Collections, Decorative Pillows, Bedspreads"
